questionUid,sourceJsPath,examId,id,displayNo,sourceOrdinal,curriculumVersion,standardCourse,standardUnitKey,standardUnit,standardUnitOrder,subUnitKey,subUnit,subUnitConfidence,subUnitClassificationDepth,questionType,layoutTag,wide,tags,contentHash,choicesHash,answerHash,solutionHash,problemImageRef,problemImageHash,solutionImageRef,solutionImageHash,inlineSvgCount,sourceValidityStatus,independentAnswer,answerParity,solutionQualityStatus,curriculumStatus,visualRequirement,visualRequirementCandidate,visualReasonCode,visualMarkers,visualType,problemVisualSufficiency,scalePolicy,existingSvgStatus,svgRepairStatus,factObligationSet,expectedFactHash,observedFactHash,numericParity,semanticParity,styleLintStatus,renderStatus,metadataStatus,metadataReason,finalVerdict,evidenceRef,assetRefs,questionIndexParity,qKey,sourceFileSha256,solutionPresent,answerValue,scopeStatus,sharedAssetUid,dependencyQuestionUids,dependencyClosureStatus
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js|23_제일고_1학기_기말_고1_기출|8,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,23_제일고_1학기_기말_고1_기출,8,8,8,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-COEFFICIENT_COMPARISON,인수분해와 계수비교,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|인수분해|계수비교,7b0f75538a96addd4905615705680dff18e7f18f03bc5ad711e1c6c556c9318d,3cc19e370a6671b60f17396fd032ed6593aa1547f8af80d6ab8d949018911b5e,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,64b074a4989b5c0f93595c7f3ed6275e2bce06ee356be3a97dce50cc5b1d762c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js|23_제일고_1학기_기말_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js_8,40d505e56bdf2bd76df68db0f6ef5c69a00e2677a3899eec811ab109b49a9b4a,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js|23_제일고_1학기_기말_고1_기출|19,archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js,23_제일고_1학기_기말_고1_기출,19,19,19,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,서술형,grid,false,서술형|인수분해|완전제곱식,1e5c66733e3981214f56411c6a4bc562ab1fc0e98d81b3b8b45bc90f6efd0d14,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,e50e83423f4c1520ed892587712a7bf0d3e550d619e15f57d1fd28678bacafed,0d7be481d38dd8c13d5675dcb77dbb6552a00ad3b96a1d37c76cd61a6297c109,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js|23_제일고_1학기_기말_고1_기출|19,,INDEX_RECORD_PRESENT,original/high/h1/1final/23_제일고_1학기_기말_고1_기출.js_19,40d505e56bdf2bd76df68db0f6ef5c69a00e2677a3899eec811ab109b49a9b4a,true,$(x-1-\sqrt{2})(x-1+\sqrt{2})$,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|6,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,6,6,6,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-POLYNOMIAL_BASIC,다항식의 연산,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|인수분해|참거짓|대입|계산,d794d2d7f0769a1e959b3e596e1730d2b130c76e734140ad6ccf893dffc4b076,b142fed6d755074188ebb5438d0c053a79e8b5b430ddaf0958fab119b073144d,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,b0df337902b9f435f0d3726769ba981c97c96c31ccabaa3da422853cedf3ab12,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|6,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_6,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|18,archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js,23_매산고_1학기_중간_고1_기출,18,18,18,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-POLYNOMIAL_BASIC,다항식의 연산,category_or_cue_inferred,complete_category,서술형,grid,false,객관식|절댓값|다항식|인수분해|최대최소|자연수조건|조건해석|계산,ac9b87ff07f4cd226cc7223fd37d16b9e0dd92242ab5070576276c6843b0be66,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,47cea6234e51694af3ba37750e249b15a6cd79dce68ac582e3075bb28393b5ea,09feafd28de6b7dc4a486d7d2dbb2ce6ff00cfb3a8fb1079affaa90363bcaf8c,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js|23_매산고_1학기_중간_고1_기출|18,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_매산고_1학기_중간_고1_기출.js_18,5df107ced37bdd1fa5c9576344a398127e4086dfc138b0b049ab1e3e78780fd5,true,15,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|11,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,11,11,11,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,approved_source_repair,complete_rule,객관식,grid,false,객관식|인수분해|도형|삼각형|조건해석|계산,01191895a5ce0a2c4835156dcc146a6e29191b259abf1331df332a803711364f,97a2f1a35f1cf97c8d05c5321ac902a72dcfbfd5008c5f37a8a3995b3195f2f5,0bdef091c479702584f065d3a3714f8a76f851b3f0cf10912f345a5dd930b0a8,406c5032dda05327fcb304c2913777375e0ecf4902316baad5094bac9df290f8,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|11,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_11,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,⑤,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|18,archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js,23_부영여고_1학기_중간_고1_기출,18,18,18,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-POLYNOMIAL_BASIC,다항식의 연산,rule_inferred,complete_rule,객관식,grid,false,객관식|다항식|인수분해|계수비교|정수조건|개수세기|조건해석|계산,61be7b9c75b7d707469212badd851974ee3b999172f5fe42530f296be7e90f09,c48d9e2e62a589f0ccbc1b5b8941e5f16a3ef87ca95148cade4b1aba254de4c0,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,8d51ab0dc61a2cba1f10722ff1a4361327bf3c8f4a2fdf845afb21fca047b35d,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js|23_부영여고_1학기_중간_고1_기출|18,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_부영여고_1학기_중간_고1_기출.js_18,bd5c7ae0dfd8afc3cf3b8508fbf0e2d868fd4c1d68484f4cd0bc589c374d288d,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|9,archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js,23_여수여고_1학기_중간_고1_기출,9,9,9,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|나머지정리|인수분해|계수비교|범위|조건해석|계산,1e6b32b015812f9e17c2618369c3790a34d30b91276863e49666a772222615ed,089e9ad75d1e53f0176287410930641bc497a7ce15eaf881f7096b9eb287d699,973d2fd2f97e26a666f403b12da6d87e527985b36bcf4ff0a47c7e7e8c36321a,a01536cfa94e6f68726cb1b002a4b97e9d3605f8c9f33bfc0b5352c443a12202,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js_9,a63fb917216bab5716599298813e458f01ee81c972938af3651a686e0633b3e1,true,①,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|10,archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js,23_여수여고_1학기_중간_고1_기출,10,10,10,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|나머지정리|인수정리|인수분해|계수비교|연립방정식|대입,8d3465e0abe64e1c5dd73524684b3d340912bea2238f33d51270d82a53f93c83,15af37ebe80e7105e00cfefb2ff161995f7f76076c07da592d16c68e5ae4596c,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,6edf75f17c74f5857e809833469ede4155d92d72dbd31a86d46ba46329f2aca4,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js|23_여수여고_1학기_중간_고1_기출|10,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여수여고_1학기_중간_고1_기출.js_10,a63fb917216bab5716599298813e458f01ee81c972938af3651a686e0633b3e1,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|5,archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js,23_여천고_1학기_중간_고1_기출,5,5,5,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|인수분해|계수비교|계산,3ba4d6f845daf64ea158ed2c871348e643b629c7c9f751ef287c539accfc3d2d,ff52feb83058f095878a90dfc1f1b67aaf4c3ffb0bb842f4b977c41f453996ae,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,b9f75e0ca5dc093ea22dc4a863260f32e59d6a480a929fa5c4424c66a8183a74,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|5,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js_5,c5af366d4db36ad28d61a31c2a98fc8f62ad45df2365b8ad4ed7c902ec91ad33,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|8,archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js,23_여천고_1학기_중간_고1_기출,8,8,8,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|인수분해|자연수조건|대입|계산|응용,45b6af1bb0d48d2ddf985cc123962483492a17da9b42e535c4415213c7e7f3b9,7d6d13a6950198b2cdd479583f0b94ad25fbb710cef481b5d592004f4114416d,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,11c7dabb83c5a7a44624872b3a0ce747a264b3aa956a2d6c107940d30b0f30a8,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|8,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js_8,c5af366d4db36ad28d61a31c2a98fc8f62ad45df2365b8ad4ed7c902ec91ad33,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|9,archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js,23_여천고_1학기_중간_고1_기출,9,9,9,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|인수분해|자연수조건|계산,994f020ea4526e899d9ab83f48a4c0d67470488d25a2f787ba6d187a7ec060fe,c227898d86f495d856f3810a29432c10d2f1612fda8e6c08afe66c82f52db692,dfde05a3668030e99ca64d8d4ae5f6b64c7a87cee61c0ba43904b92ef210191d,ea496637105c825ab775cfee0d492aa36b2d87eb2c6378b6bff6cde62726035e,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|9,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js_9,c5af366d4db36ad28d61a31c2a98fc8f62ad45df2365b8ad4ed7c902ec91ad33,true,②,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|21,archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js,23_여천고_1학기_중간_고1_기출,21,21,21,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-FACTORIZATION,인수분해,category_or_cue_inferred,complete_category,단답형,grid,false,서술형|다항식|인수분해|전개|도형|원|자연수조건|대입,97eca07732e3cf0cf57d33f785385915089baa65553a2451c5006f82914c0921,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6152ed2006ea733bcb94a86c04c1fad987b4116287e14789262cdd6604561941,6a6b9dd5ee5b2cc5f57cf183aa649adbeb297941786c5fd5b87ab970fd4600c7,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_REQUIRED_MISSING,SVG_REQUIRED_MISSING,COORDINATE_OR_GEOMETRY_STRUCTURE,,VISUAL_CANDIDATE,NO_PROBLEM_VISUAL,REVIEW_REQUIRED,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js|23_여천고_1학기_중간_고1_기출|21,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_여천고_1학기_중간_고1_기출.js_21,c5af366d4db36ad28d61a31c2a98fc8f62ad45df2365b8ad4ed7c902ec91ad33,true,131^2,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
archive/exams/original/high/h1/1mid/23_충무고_1학기_중간_고1_기출.js|23_충무고_1학기_중간_고1_기출|4,archive/exams/original/high/h1/1mid/23_충무고_1학기_중간_고1_기출.js,23_충무고_1학기_중간_고1_기출,4,4,4,2015,수학(상),H15-SA-03,인수분해,3,H15-SA-03-POLYNOMIAL_BASIC,다항식의 연산,category_or_cue_inferred,complete_category,객관식,grid,false,객관식|다항식|인수분해|조건해석|계산,683352fc41386abd37dd9e80e43199ec8ed501a8d152348f0348010dbc0b8d2e,ead7d95348b1574ef74a8c79cb88cbbc55ef9906e41fbaeaed88288416ade954,b15be6cb71072b84f7e1e198ce023fc5bb8b1e625335904ddcf3cffcd8b7312b,91cdc548ac520dccb5e158cf69b3f5a4b5d0cd1b35c2e59f4c632904551ce607,,,,,0,LOADED_VM,,NOT_STARTED,NOT_STARTED,NOT_STARTED,SVG_OPTIONAL,SVG_OPTIONAL,,,NONE,NO_PROBLEM_VISUAL,N/A,NONE,NOT_STARTED,,,,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_TESTED,PASS,canonical_and_compiled_master_match,INVENTORY_PENDING,01_scope_inventory.csv#archive/exams/original/high/h1/1mid/23_충무고_1학기_중간_고1_기출.js|23_충무고_1학기_중간_고1_기출|4,,INDEX_RECORD_PRESENT,original/high/h1/1mid/23_충무고_1학기_중간_고1_기출.js_4,84c6ba6012840087472cb4fb19c4ceb5c17c952dbb839781b0a36cc0ec41e4f4,true,③,IN_SCOPE_FORWARD,,,CLOSED_NO_SHARED_ASSET
